image,width,height,filter,strategy,threads,iterations,avg_ms,throughput_mpix_s,speedup_vs_sequential
256.png,256,256,gaussian3,sequential,1,30,2.540730,25.794162,1.000000
256.png,256,256,gaussian3,pixels,1,30,3.880797,16.887254,0.654693
256.png,256,256,gaussian3,pixels,2,30,3.944283,16.615439,0.644155
256.png,256,256,gaussian3,pixels,4,30,3.249113,20.170426,0.781976
256.png,256,256,gaussian3,pixels,8,30,2.404137,27.259682,1.056816
256.png,256,256,gaussian3,rows,1,30,2.633767,24.882994,0.964675
256.png,256,256,gaussian3,rows,2,30,1.536990,42.639184,1.653056
256.png,256,256,gaussian3,rows,4,30,1.033250,63.427051,2.458969
256.png,256,256,gaussian3,rows,8,30,1.237167,52.972653,2.053668
256.png,256,256,gaussian3,columns,1,30,2.806610,23.350590,0.905266
256.png,256,256,gaussian3,columns,2,30,1.518303,43.163970,1.673401
256.png,256,256,gaussian3,columns,4,30,1.150227,56.976596,2.208895
256.png,256,256,gaussian3,columns,8,30,1.079913,60.686351,2.352717
256.png,256,256,gaussian3,grid,1,30,2.689537,24.367022,0.944672
256.png,256,256,gaussian3,grid,2,30,1.554437,42.160611,1.634502
256.png,256,256,gaussian3,grid,4,30,4.067050,16.113891,0.624711
256.png,256,256,gaussian3,grid,8,30,1.615677,40.562571,1.572549
256.png,256,256,gaussian5,sequential,1,30,5.547377,11.813872,1.000000
256.png,256,256,gaussian5,pixels,1,30,7.062727,9.279136,0.785444
256.png,256,256,gaussian5,pixels,2,30,4.966517,13.195566,1.116955
256.png,256,256,gaussian5,pixels,4,30,3.650020,17.954970,1.519821
256.png,256,256,gaussian5,pixels,8,30,2.859463,22.918986,1.940006
256.png,256,256,gaussian5,rows,1,30,5.801723,11.295954,0.956160
256.png,256,256,gaussian5,rows,2,30,3.254850,20.134876,1.704342
256.png,256,256,gaussian5,rows,4,30,2.408983,27.204837,2.302787
256.png,256,256,gaussian5,rows,8,30,2.286873,28.657468,2.425747
256.png,256,256,gaussian5,columns,1,30,5.872430,11.159946,0.944648
256.png,256,256,gaussian5,columns,2,30,3.302770,19.842738,1.679613
256.png,256,256,gaussian5,columns,4,30,2.322707,28.215358,2.388324
256.png,256,256,gaussian5,columns,8,30,2.168760,30.218189,2.557856
256.png,256,256,gaussian5,grid,1,30,5.781307,11.335846,0.959537
256.png,256,256,gaussian5,grid,2,30,3.282720,19.963932,1.689872
256.png,256,256,gaussian5,grid,4,30,2.524083,25.964277,2.197779
256.png,256,256,gaussian5,grid,8,30,2.485403,26.368356,2.231982
256.png,256,256,blur5,sequential,1,30,6.416870,10.213079,1.000000
256.png,256,256,blur5,pixels,1,30,7.253090,9.035597,0.884708
256.png,256,256,blur5,pixels,2,30,4.892137,13.396192,1.311670
256.png,256,256,blur5,pixels,4,30,3.579180,18.310339,1.792832
256.png,256,256,blur5,pixels,8,30,2.893770,22.647273,2.217478
256.png,256,256,blur5,rows,1,30,5.761670,11.374480,1.113717
256.png,256,256,blur5,rows,2,30,3.217240,20.370255,1.994526
256.png,256,256,blur5,rows,4,30,2.432027,26.947073,2.638487
256.png,256,256,blur5,rows,8,30,2.613950,25.071635,2.454856
256.png,256,256,blur5,columns,1,30,7.052017,9.293228,0.909934
256.png,256,256,blur5,columns,2,30,4.036993,16.233864,1.589517
256.png,256,256,blur5,columns,4,30,2.733317,23.976732,2.347650
256.png,256,256,blur5,columns,8,30,4.589587,14.279282,1.398137
256.png,256,256,blur5,grid,1,30,7.354207,8.911362,0.872544
256.png,256,256,blur5,grid,2,30,3.875960,16.908327,1.655556
256.png,256,256,blur5,grid,4,30,2.971217,22.056958,2.159678
256.png,256,256,blur5,grid,8,30,2.593203,25.272218,2.474496
256.png,256,256,sharpen3,sequential,1,30,2.646563,24.762680,1.000000
256.png,256,256,sharpen3,pixels,1,30,4.084727,16.044158,0.647917
256.png,256,256,sharpen3,pixels,2,30,3.476740,18.849842,0.761220
256.png,256,256,sharpen3,pixels,4,30,3.045540,21.518680,0.868996
256.png,256,256,sharpen3,pixels,8,30,2.559120,25.608803,1.034169
256.png,256,256,sharpen3,rows,1,30,2.693427,24.331830,0.982601
256.png,256,256,sharpen3,rows,2,30,1.637137,40.030867,1.616581
256.png,256,256,sharpen3,rows,4,30,1.468480,44.628459,1.802247
256.png,256,256,sharpen3,rows,8,30,1.166297,56.191535,2.269203
256.png,256,256,sharpen3,columns,1,30,2.724050,24.058296,0.971555
256.png,256,256,sharpen3,columns,2,30,1.524253,42.995478,1.736301
256.png,256,256,sharpen3,columns,4,30,0.952997,68.768341,2.777096
256.png,256,256,sharpen3,columns,8,30,1.059070,61.880707,2.498950
256.png,256,256,sharpen3,grid,1,30,2.693963,24.326983,0.982405
256.png,256,256,sharpen3,grid,2,30,1.615207,40.574374,1.638529
256.png,256,256,sharpen3,grid,4,30,1.156503,56.667368,2.288418
256.png,256,256,sharpen3,grid,8,30,1.124207,58.295331,2.354161
256.png,256,256,motion9,sequential,1,30,16.179860,4.050468,1.000000
256.png,256,256,motion9,pixels,1,30,17.527393,3.739061,0.923118
256.png,256,256,motion9,pixels,2,30,10.916870,6.003186,1.482097
256.png,256,256,motion9,pixels,4,30,6.324747,10.361838,2.558183
256.png,256,256,motion9,pixels,8,30,5.451970,12.020609,2.967709
256.png,256,256,motion9,rows,1,30,16.774943,3.906779,0.964525
256.png,256,256,motion9,rows,2,30,9.190793,7.130614,1.760442
256.png,256,256,motion9,rows,4,30,5.479697,11.959786,2.952693
256.png,256,256,motion9,rows,8,30,4.785187,13.695599,3.381239
256.png,256,256,motion9,columns,1,30,16.579560,3.952819,0.975892
256.png,256,256,motion9,columns,2,30,8.647580,7.578536,1.871028
256.png,256,256,motion9,columns,4,30,5.451837,12.020903,2.967781
256.png,256,256,motion9,columns,8,30,5.358263,12.230829,3.019609
256.png,256,256,motion9,grid,1,30,16.313003,4.017409,0.991838
256.png,256,256,motion9,grid,2,30,8.914650,7.351494,1.814974
256.png,256,256,motion9,grid,4,30,5.546000,11.816805,2.917393
256.png,256,256,motion9,grid,8,30,4.800347,13.652347,3.370561
256.png,256,256,median3,sequential,1,30,5.366460,12.212147,1.000000
256.png,256,256,median3,pixels,1,30,5.847980,11.206605,0.917660
256.png,256,256,median3,pixels,2,30,4.530813,14.464511,1.184436
256.png,256,256,median3,pixels,4,30,3.441390,19.043468,1.559387
256.png,256,256,median3,pixels,8,30,2.651223,24.719155,2.024145
256.png,256,256,median3,rows,1,30,5.649557,11.600202,0.949890
256.png,256,256,median3,rows,2,30,3.145577,20.834336,1.706034
256.png,256,256,median3,rows,4,30,2.172130,30.171307,2.470598
256.png,256,256,median3,rows,8,30,1.842683,35.565525,2.912307
256.png,256,256,median3,columns,1,30,5.681217,11.535557,0.944597
256.png,256,256,median3,columns,2,30,3.099133,21.146557,1.731600
256.png,256,256,median3,columns,4,30,2.326580,28.168384,2.306587
256.png,256,256,median3,columns,8,30,1.829583,35.820178,2.933160
256.png,256,256,median3,grid,1,30,5.443727,12.038812,0.985806
256.png,256,256,median3,grid,2,30,3.199677,20.482070,1.677188
256.png,256,256,median3,grid,4,30,2.337127,28.041270,2.296178
256.png,256,256,median3,grid,8,30,1.890007,34.675010,2.839387
256.png,256,256,median5,sequential,1,30,20.554800,3.188355,1.000000
256.png,256,256,median5,pixels,1,30,20.248660,3.236560,1.015119
